Identifier	ScientificName	Parent TaxonID	Kingdom	Phylum	Class	Order	Family	Genus	TaxonRank	FurtherInformationURL	TaxonomicStatus	TaxonRemarks	NamePublishedIn	ReferenceID
Coccoloba pubescens	Coccoloba pubescens		Plantae				Polygonaceae		species					
Coccoloba swartzii	Coccoloba swartzii		Plantae				Polygonaceae		species					
Coccoloba uvifera	Coccoloba uvifera		Plantae				Polygonaceae		species					
Cochlospermum gossypium	Cochlospermum gossypium		Plantae				Bixaceae		species					
Cochlospermum orinocense	Cochlospermum orinocense		Plantae				Bixaceae		species					
Cochlospermum religiosum	Cochlospermum religiosum		Plantae				Bixaceae		species					
Cochlospermum vitifolium	Cochlospermum vitifolium		Plantae				Bixaceae		species					
Codonocarpus attenuatus	Codonocarpus attenuatus		Plantae				Gyrostemonaceae		species					
Codonocarpus cotinifolius	Codonocarpus cotinifolius		Plantae				Gyrostemonaceae		species					
Coelocaryon klainei	Coelocaryon klainei		Plantae				Myristicaceae		species					
Coelocaryon oxycarpum	Coelocaryon oxycarpum		Plantae				Myristicaceae		species					
Coelocaryon preussii	Coelocaryon preussii		Plantae				Myristicaceae		species					
Coelostegia borneensis	Coelostegia borneensis		Plantae				Malvaceae		species					
Coelostegia griffithii	Coelostegia griffithii		Plantae				Malvaceae		species					
Coffea arabica	Coffea arabica		Plantae				Rubiaceae		species					
Coffea zanguebariae	Coffea zanguebariae		Plantae				Rubiaceae		species					
Cola acuminata	Cola acuminata		Plantae				Malvaceae		species					
Cola buntingii	Cola buntingii		Plantae				Malvaceae		species					
Cola cordifolia	Cola cordifolia		Plantae				Malvaceae		species					
Cola gigantea	Cola gigantea		Plantae				Malvaceae		species					
Cola greenwayi	Cola greenwayi		Plantae				Malvaceae		species					
Cola lateritia	Cola lateritia		Plantae				Malvaceae		species					
Cola natalensis	Cola natalensis		Plantae				Malvaceae		species					
Colona celebica	Colona celebica		Plantae				Malvaceae		species					
Colona javanica	Colona javanica		Plantae				Malvaceae		species					
Colona scabra	Colona scabra		Plantae				Malvaceae		species					
Colona serratifolia	Colona serratifolia		Plantae				Malvaceae		species					
Colona thorelii	Colona thorelii		Plantae				Malvaceae		species					
Colophospermum mopane	Colophospermum mopane		Plantae				Fabaceae		species					
Colubrina arborescens	Colubrina arborescens		Plantae				Rhamnaceae		species					
Colubrina elliptica	Colubrina elliptica		Plantae				Rhamnaceae		species					
Colubrina faralaotra	Colubrina faralaotra		Plantae				Rhamnaceae		species					
Colubrina glandulosa	Colubrina glandulosa		Plantae				Rhamnaceae		species					
Colubrina heteroneura	Colubrina heteroneura		Plantae				Rhamnaceae		species					
Colubrina papuana	Colubrina papuana		Plantae				Rhamnaceae		species					
Colubrina spinosa	Colubrina spinosa		Plantae				Rhamnaceae		species					
Colubrina triflora	Colubrina triflora		Plantae				Rhamnaceae		species					
Combretocarpus rotundatus	Combretocarpus rotundatus		Plantae				Anisophylleaceae		species					
Combretocarpus rotuodatus	Combretocarpus rotuodatus		Plantae				Anisophylleaceae		species					
Combretum apiculatum	Combretum apiculatum		Plantae				Combretaceae		species					
Combretum binderianum	Combretum binderianum		Plantae				Combretaceae		species					
Combretum elaeagnoides	Combretum elaeagnoides		Plantae				Combretaceae		species					
Combretum erythrophyllum	Combretum erythrophyllum		Plantae				Combretaceae		species					
Combretum fragrans	Combretum fragrans		Plantae				Combretaceae		species					
Combretum glutinosum	Combretum glutinosum		Plantae				Combretaceae		species					
Combretum hereroense	Combretum hereroense		Plantae				Combretaceae		species					
Combretum imberbe	Combretum imberbe		Plantae				Combretaceae		species					
Combretum leprosum	Combretum leprosum		Plantae				Combretaceae		species					
Combretum molle	Combretum molle		Plantae				Combretaceae		species					
Combretum schumannii	Combretum schumannii		Plantae				Combretaceae		species					
Commersonia bartramia	Commersonia bartramia		Plantae				Malvaceae		species					
Commiphora africana	Commiphora africana		Plantae				Burseraceae		species					
Commiphora barorum	Commiphora barorum		Plantae				Burseraceae		species					
Commiphora caerulea	Commiphora caerulea		Plantae				Burseraceae		species					
Commiphora edulis	Commiphora edulis		Plantae				Burseraceae		species					
Commiphora leptophloeos	Commiphora leptophloeos		Plantae				Burseraceae		species					
Commiphora marlothii	Commiphora marlothii		Plantae				Burseraceae		species					
Commiphora mollis	Commiphora mollis		Plantae				Burseraceae		species					
Commiphora pterocarpa	Commiphora pterocarpa		Plantae				Burseraceae		species					
Comocladia engleriana	Comocladia engleriana		Plantae				Anacardiaceae		species					
Conceveiba guianensis	Conceveiba guianensis		Plantae				Euphorbiaceae		species					
Conceveiba martiana	Conceveiba martiana		Plantae				Euphorbiaceae		species					
Conceveiba pleiostemona	Conceveiba pleiostemona		Plantae				Euphorbiaceae		species					
Connarus griffithii	Connarus griffithii		Plantae				Connaraceae		species					
Connarus suberosus	Connarus suberosus		Plantae				Connaraceae		species					
Conocarpus erectus	Conocarpus erectus		Plantae				Combretaceae		species					
Copaifera aromatica	Copaifera aromatica		Plantae				Fabaceae		species					
Copaifera duckei	Copaifera duckei		Plantae				Fabaceae		species					
Copaifera guyanensis	Copaifera guyanensis		Plantae				Fabaceae		species					
Copaifera langsdorffii	Copaifera langsdorffii		Plantae				Fabaceae		species					
Copaifera mildbraedii	Copaifera mildbraedii		Plantae				Fabaceae		species					
Copaifera multijuga	Copaifera multijuga		Plantae				Fabaceae		species					
Copaifera officinalis	Copaifera officinalis		Plantae				Fabaceae		species					
Copaifera palustris	Copaifera palustris		Plantae				Fabaceae		species					
Copaifera pubiflora	Copaifera pubiflora		Plantae				Fabaceae		species					
Copaifera religiosa	Copaifera religiosa		Plantae				Fabaceae		species					
Copaifera reticulata	Copaifera reticulata		Plantae				Fabaceae		species					
Copaifera salikounda	Copaifera salikounda		Plantae				Fabaceae		species					
Copernicia alba	Copernicia alba		Plantae				Arecaceae		species					
Coprosma foetidissima	Coprosma foetidissima		Plantae				Rubiaceae		species					
Coprosma linariifolia	Coprosma linariifolia		Plantae				Rubiaceae		species					
Coprosma lucida	Coprosma lucida		Plantae				Rubiaceae		species					
Coprosma pseudocuneata	Coprosma pseudocuneata		Plantae				Rubiaceae		species					
Cordia abyssinica	Cordia abyssinica		Plantae				Boraginaceae		species					
Cordia africana	Cordia africana		Plantae				Boraginaceae		species					
Cordia alliodora	Cordia alliodora		Plantae				Boraginaceae		species					
Cordia americana	Cordia americana		Plantae				Boraginaceae		species					
Cordia bicolor	Cordia bicolor		Plantae				Boraginaceae		species					
Cordia borinquensis	Cordia borinquensis		Plantae				Boraginaceae		species					
Cordia caffra	Cordia caffra		Plantae				Boraginaceae		species					
Cordia cicatricosa	Cordia cicatricosa		Plantae				Boraginaceae		species					
Cordia collococca	Cordia collococca		Plantae				Boraginaceae		species					
Cordia dentata	Cordia dentata		Plantae				Boraginaceae		species					
Cordia dichotoma	Cordia dichotoma		Plantae				Boraginaceae		species					
Cordia dodecandra	Cordia dodecandra		Plantae				Boraginaceae		species					
Cordia ecalyculata	Cordia ecalyculata		Plantae				Boraginaceae		species					
Cordia elaeagnoides	Cordia elaeagnoides		Plantae				Boraginaceae		species					
Cordia exaltata	Cordia exaltata		Plantae				Boraginaceae		species					
Cordia fallax	Cordia fallax		Plantae				Boraginaceae		species					
Cordia fragrantissima	Cordia fragrantissima		Plantae				Boraginaceae		species					
Cordia gerascanthus	Cordia gerascanthus		Plantae				Boraginaceae		species					
Cordia glabrata	Cordia glabrata		Plantae				Boraginaceae		species					
Cordia goeldiana	Cordia goeldiana		Plantae				Boraginaceae		species					
Cordia goetzei	Cordia goetzei		Plantae				Boraginaceae		species					
Cordia laevifrons	Cordia laevifrons		Plantae				Boraginaceae		species					
Cordia lasiocalyx	Cordia lasiocalyx		Plantae				Boraginaceae		species					
Cordia lomatoloba	Cordia lomatoloba		Plantae				Boraginaceae		species					
Cordia megalantha	Cordia megalantha		Plantae				Boraginaceae		species					
Cordia millenii	Cordia millenii		Plantae				Boraginaceae		species					
Cordia myxa	Cordia myxa		Plantae				Boraginaceae		species					
Cordia nodosa	Cordia nodosa		Plantae				Boraginaceae		species					
Cordia platythyrsa	Cordia platythyrsa		Plantae				Boraginaceae		species					
Cordia sagotii	Cordia sagotii		Plantae				Boraginaceae		species					
Cordia scabrifolia	Cordia scabrifolia		Plantae				Boraginaceae		species					
Cordia sebestena	Cordia sebestena		Plantae				Boraginaceae		species					
Cordia seleriana	Cordia seleriana		Plantae				Boraginaceae		species					
Cordia sericicalyx	Cordia sericicalyx		Plantae				Boraginaceae		species					
Cordia sonorae	Cordia sonorae		Plantae				Boraginaceae		species					
Cordia subcordata	Cordia subcordata		Plantae				Boraginaceae		species					
Cordia subpubescens	Cordia subpubescens		Plantae				Boraginaceae		species					
Cordia sulcata	Cordia sulcata		Plantae				Boraginaceae		species					
Cordia tetrandra	Cordia tetrandra		Plantae				Boraginaceae		species					
Cordia trichotoma	Cordia trichotoma		Plantae				Boraginaceae		species					
Cordia ucayaliensis	Cordia ucayaliensis		Plantae				Boraginaceae		species					
Cordia vestita	Cordia vestita		Plantae				Boraginaceae		species					
Cordyla africana	Cordyla africana		Plantae				Fabaceae		species					
Cordyla madagascariensis	Cordyla madagascariensis		Plantae				Fabaceae		species					
Cordyla pinnata	Cordyla pinnata		Plantae				Fabaceae		species					
Cornus controversa	Cornus controversa		Plantae				Cornaceae		species					
Cornus disciflora	Cornus disciflora		Plantae				Cornaceae		species					
Cornus florida	Cornus florida		Plantae				Cornaceae		species					
Cornus nuttallii	Cornus nuttallii		Plantae				Cornaceae		species					
Cornus peruviana	Cornus peruviana		Plantae				Cornaceae		species					
Cornus sanguinea	Cornus sanguinea		Plantae				Cornaceae		species					
Cornutia grandiflora	Cornutia grandiflora		Plantae				Verbenaceae		species					
Corylus avellana	Corylus avellana		Plantae				Betulaceae		species					
Corylus chinensis	Corylus chinensis		Plantae				Betulaceae		species					
Corymbia abergiana	Corymbia abergiana		Plantae				Myrtaceae		species					
Corymbia bloxsomei	Corymbia bloxsomei		Plantae				Myrtaceae		species					
Corymbia chippendalei	Corymbia chippendalei		Plantae				Myrtaceae		species					
Corymbia citriodora	Corymbia citriodora		Plantae				Myrtaceae		species					
Corymbia clavigera	Corymbia clavigera		Plantae				Myrtaceae		species					
Corymbia confertiflora	Corymbia confertiflora		Plantae				Myrtaceae		species					
Corymbia dallachiana	Corymbia dallachiana		Plantae				Myrtaceae		species					
Corymbia dichromophloia	Corymbia dichromophloia		Plantae				Myrtaceae		species					
Corymbia erythrophloia	Corymbia erythrophloia		Plantae				Myrtaceae		species					
Corymbia gummifera	Corymbia gummifera		Plantae				Myrtaceae		species					
Corymbia henryi	Corymbia henryi		Plantae				Myrtaceae		species					
Corymbia lenziana	Corymbia lenziana		Plantae				Myrtaceae		species					
Corymbia maculata	Corymbia maculata		Plantae				Myrtaceae		species					
Corymbia nesophila	Corymbia nesophila		Plantae				Myrtaceae		species					
Corymbia peltata	Corymbia peltata		Plantae				Myrtaceae		species					
Corymbia polycarpa	Corymbia polycarpa		Plantae				Myrtaceae		species					
Corymbia setosa	Corymbia setosa		Plantae				Myrtaceae		species					
Corymbia terminalis	Corymbia terminalis		Plantae				Myrtaceae		species					
Corymbia tessellaris	Corymbia tessellaris		Plantae				Myrtaceae		species					
Corymbia torelliana	Corymbia torelliana		Plantae				Myrtaceae		species					
Corymbia trachyphloia	Corymbia trachyphloia		Plantae				Myrtaceae		species					
Corymbia watsoniana	Corymbia watsoniana		Plantae				Myrtaceae		species					
Corynanthe pachyceras	Corynanthe pachyceras		Plantae				Rubiaceae		species					
Corynocarpus australasicus	Corynocarpus australasicus		Plantae				Corynocarpaceae		species					
Corynocarpus cribbianus	Corynocarpus cribbianus		Plantae				Corynocarpaceae		species					
Corythophora alta	Corythophora alta		Plantae				Lecythidaceae		species					
Corythophora rimosa	Corythophora rimosa		Plantae				Lecythidaceae		species					
Cotylelobium burckii	Cotylelobium burckii		Plantae				Dipterocarpaceae		species					
Cotylelobium lanceolatum	Cotylelobium lanceolatum		Plantae				Dipterocarpaceae		species					
Cotylelobium malayanum	Cotylelobium malayanum		Plantae				Dipterocarpaceae		species					
Cotylelobium melanoxylon	Cotylelobium melanoxylon		Plantae				Dipterocarpaceae		species					
Couepia bracteosa	Couepia bracteosa		Plantae				Chrysobalanaceae		species					
Couepia caryophylloides	Couepia caryophylloides		Plantae				Chrysobalanaceae		species					
Couepia elata	Couepia elata		Plantae				Chrysobalanaceae		species					
Couepia guianensis	Couepia guianensis		Plantae				Chrysobalanaceae		species					
Couepia hostmanniana	Couepia hostmanniana		Plantae				Chrysobalanaceae		species					
Couepia longipendula	Couepia longipendula		Plantae				Chrysobalanaceae		species					
Couepia paraensis	Couepia paraensis		Plantae				Chrysobalanaceae		species					
Couepia polyandra	Couepia polyandra		Plantae				Chrysobalanaceae		species					
Couepia robusta	Couepia robusta		Plantae				Chrysobalanaceae		species					
Couepia ulei	Couepia ulei		Plantae				Chrysobalanaceae		species					
Coula edulis	Coula edulis		Plantae				Olacaceae		species					
Couma guianensis	Couma guianensis		Plantae				Apocynaceae		species					
Couma macrocarpa	Couma macrocarpa		Plantae				Apocynaceae		species					
Couma utilis	Couma utilis		Plantae				Apocynaceae		species					
Couratari asterotricha	Couratari asterotricha		Plantae				Lecythidaceae		species					
Couratari guianensis	Couratari guianensis		Plantae				Lecythidaceae		species					
Couratari longipedicellata	Couratari longipedicellata		Plantae				Lecythidaceae		species					
Couratari macrosperma	Couratari macrosperma		Plantae				Lecythidaceae		species					
Couratari multiflora	Couratari multiflora		Plantae				Lecythidaceae		species					
Couratari oblongifolia	Couratari oblongifolia		Plantae				Lecythidaceae		species					
Couratari panamensis	Couratari panamensis		Plantae				Lecythidaceae		species					
Couratari stellata	Couratari stellata		Plantae				Lecythidaceae		species					
Couratari tauari	Couratari tauari		Plantae				Lecythidaceae		species					
Couroupita guianensis	Couroupita guianensis		Plantae				Lecythidaceae		species					
Couroupita subsessilis	Couroupita subsessilis		Plantae				Lecythidaceae		species					
Coussapoa asperifolia	Coussapoa asperifolia		Plantae				Urticaceae		species					
Coussapoa batavorum	Coussapoa batavorum		Plantae				Urticaceae		species					
Coussapoa microcarpa	Coussapoa microcarpa		Plantae				Urticaceae		species					
Coussapoa panamensis	Coussapoa panamensis		Plantae				Urticaceae		species					
Coussapoa parviceps	Coussapoa parviceps		Plantae				Urticaceae		species					
Coussapoa parvifolia	Coussapoa parvifolia		Plantae				Urticaceae		species					
Coussarea ampla	Coussarea ampla		Plantae				Rubiaceae		species					
Coussarea hirticalyx	Coussarea hirticalyx		Plantae				Rubiaceae		species					
Coussarea hydrangeifolia	Coussarea hydrangeifolia		Plantae				Rubiaceae		species					
Coussarea racemosa	Coussarea racemosa		Plantae				Rubiaceae		species					
Coussarea surinamensis	Coussarea surinamensis		Plantae				Rubiaceae		species					
Coutarea hexandra	Coutarea hexandra		Plantae				Rubiaceae		species					
Craibia brevicaudata	Craibia brevicaudata		Plantae				Fabaceae		species					
Craspidospermum verticillatum	Craspidospermum verticillatum		Plantae				Apocynaceae		species					
Crassocephalum mannii	Crassocephalum mannii		Plantae				Asteraceae		species					
Crataegus calpodendron	Crataegus calpodendron		Plantae				Rosaceae		species					
Crataegus oxyacantha	Crataegus oxyacantha		Plantae				Rosaceae		species					
Craterispermum schweinfurthii	Craterispermum schweinfurthii		Plantae				Rubiaceae		species					
Crateva membranifolia	Crateva membranifolia		Plantae				Brassicaceae		species					
Crateva nurvala	Crateva nurvala		Plantae				Brassicaceae		species					
Crateva tapia	Crateva tapia		Plantae				Brassicaceae		species					
Cratoxylum arborescens	Cratoxylum arborescens		Plantae				Clusiaceae		species					
Cratoxylum clandestinum	Cratoxylum clandestinum		Plantae				Clusiaceae		species					
Cratoxylum cochinchinense	Cratoxylum cochinchinense		Plantae				Clusiaceae		species					
Cratoxylum formosum	Cratoxylum formosum		Plantae				Clusiaceae		species					
Cratoxylum glaucum	Cratoxylum glaucum		Plantae				Clusiaceae		species					
Cratoxylum ligustrinum	Cratoxylum ligustrinum		Plantae				Clusiaceae		species					
Cratoxylum prunifolium	Cratoxylum prunifolium		Plantae				Clusiaceae		species					
Cratoxylum sumatranum	Cratoxylum sumatranum		Plantae				Clusiaceae		species					
Crepidospermum rhoifolium	Crepidospermum rhoifolium		Plantae				Burseraceae		species					
Crescentia alata	Crescentia alata		Plantae				Bignoniaceae		species					
Crescentia cujete	Crescentia cujete		Plantae				Bignoniaceae		species					
Crinodendron tucumanum	Crinodendron tucumanum		Plantae				Elaeocarpaceae		species					
Crossopteryx febrifuga	Crossopteryx febrifuga		Plantae				Rubiaceae		species					
Croton argyratus	Croton argyratus		Plantae				Euphorbiaceae		species					
Croton croizatii	Croton croizatii		Plantae				Euphorbiaceae		species					
Croton cuneatus	Croton cuneatus		Plantae				Euphorbiaceae		species					
Croton floribundus	Croton floribundus		Plantae				Euphorbiaceae		species					
Croton glabrescens	Croton glabrescens		Plantae				Euphorbiaceae		species					
Croton griffithii	Croton griffithii		Plantae				Euphorbiaceae		species					
Croton laevifolius	Croton laevifolius		Plantae				Euphorbiaceae		species					
Croton laevigatus	Croton laevigatus		Plantae				Euphorbiaceae		species					
Croton lanjouwensis	Croton lanjouwensis		Plantae				Euphorbiaceae		species					
Croton luciae	Croton luciae		Plantae				Euphorbiaceae		species					
Croton macrostachyus	Croton macrostachyus		Plantae				Euphorbiaceae		species					
Croton matourensis	Croton matourensis		Plantae				Euphorbiaceae		species					
Croton megalobotrys	Croton megalobotrys		Plantae				Euphorbiaceae		species					
Croton megalocarpus	Croton megalocarpus		Plantae				Euphorbiaceae		species					
Croton mutisianus	Croton mutisianus		Plantae				Euphorbiaceae		species					
Croton nitens	Croton nitens		Plantae				Euphorbiaceae		species					
Croton oblongifolius	Croton oblongifolius		Plantae				Euphorbiaceae		species					
Croton oligandrus	Croton oligandrus		Plantae				Euphorbiaceae		species					
Croton poecilanthus	Croton poecilanthus		Plantae				Euphorbiaceae		species					
Croton tchibangensis	Croton tchibangensis		Plantae				Euphorbiaceae		species					
Croton tessmannii	Croton tessmannii		Plantae				Euphorbiaceae		species					
Croton triacros	Croton triacros		Plantae				Euphorbiaceae		species					
Croton urucurana	Croton urucurana		Plantae				Euphorbiaceae		species					
Croton xanthochylus	Croton xanthochylus		Plantae				Euphorbiaceae		species					
Crudia acuta	Crudia acuta		Plantae				Fabaceae		species					
Crudia amazonica	Crudia amazonica		Plantae				Fabaceae		species					
Crudia aromatica	Crudia aromatica		Plantae				Fabaceae		species					
Crudia beccarii	Crudia beccarii		Plantae				Fabaceae		species					
Crudia blancoi	Crudia blancoi		Plantae				Fabaceae		species					
Crudia caudata	Crudia caudata		Plantae				Fabaceae		species					
Crudia chrysantha	Crudia chrysantha		Plantae				Fabaceae		species					
Crudia curtisii	Crudia curtisii		Plantae				Fabaceae		species					
Crudia glaberrima	Crudia glaberrima		Plantae				Fabaceae		species					
Crudia gracilis	Crudia gracilis		Plantae				Fabaceae		species					
Crudia mutabilis	Crudia mutabilis		Plantae				Fabaceae		species					
Crudia obliqua	Crudia obliqua		Plantae				Fabaceae		species					
Crudia ripicola	Crudia ripicola		Plantae				Fabaceae		species					
Crudia scortechinii	Crudia scortechinii		Plantae				Fabaceae		species					
Crudia tenuipes	Crudia tenuipes		Plantae				Fabaceae		species					
Crudia teysmannii	Crudia teysmannii		Plantae				Fabaceae		species					
Crudia velutina	Crudia velutina		Plantae				Fabaceae		species					
Crudia wrayi	Crudia wrayi		Plantae				Fabaceae		species					
Cryosophila warscewiczii	Cryosophila warscewiczii		Plantae				Arecaceae		species					
Crypteronia cumingii	Crypteronia cumingii		Plantae				Crypteroniaceae		species					
Crypteronia griffithii	Crypteronia griffithii		Plantae				Crypteroniaceae		species					
Crypteronia paniculata	Crypteronia paniculata		Plantae				Crypteroniaceae		species					
Cryptocarya alleniana	Cryptocarya alleniana		Plantae				Lauraceae		species					
Cryptocarya angica	Cryptocarya angica		Plantae				Lauraceae		species					
Cryptocarya angulata	Cryptocarya angulata		Plantae				Lauraceae		species					
Cryptocarya archboldiana	Cryptocarya archboldiana		Plantae				Lauraceae		species					
Cryptocarya aschersoniana	Cryptocarya aschersoniana		Plantae				Lauraceae		species					
Cryptocarya bicolor	Cryptocarya bicolor		Plantae				Lauraceae		species					
Cryptocarya chinensis	Cryptocarya chinensis		Plantae				Lauraceae		species					
Cryptocarya chingii	Cryptocarya chingii		Plantae				Lauraceae		species					
Cryptocarya corrugata	Cryptocarya corrugata		Plantae				Lauraceae		species					
Cryptocarya costata	Cryptocarya costata		Plantae				Lauraceae		species					
Cryptocarya crassinervia	Cryptocarya crassinervia		Plantae				Lauraceae		species					
Cryptocarya cunninghamii	Cryptocarya cunninghamii		Plantae				Lauraceae		species					
Cryptocarya densiflora	Cryptocarya densiflora		Plantae				Lauraceae		species					
Cryptocarya erythroxylon	Cryptocarya erythroxylon		Plantae				Lauraceae		species					
Cryptocarya ferrea	Cryptocarya ferrea		Plantae				Lauraceae		species					
Cryptocarya foveolata	Cryptocarya foveolata		Plantae				Lauraceae		species					
Cryptocarya glaucescens	Cryptocarya glaucescens		Plantae				Lauraceae		species					
Cryptocarya grandis	Cryptocarya grandis		Plantae				Lauraceae		species					
Cryptocarya griffithiana	Cryptocarya griffithiana		Plantae				Lauraceae		species					
Cryptocarya hypoglauca	Cryptocarya hypoglauca		Plantae				Lauraceae		species					
Cryptocarya hypospodia	Cryptocarya hypospodia		Plantae				Lauraceae		species					
Cryptocarya idenburgensis	Cryptocarya idenburgensis		Plantae				Lauraceae		species					
Cryptocarya impressa	Cryptocarya impressa		Plantae				Lauraceae		species					
Cryptocarya kurzii	Cryptocarya kurzii		Plantae				Lauraceae		species					
Cryptocarya lanceolata	Cryptocarya lanceolata		Plantae				Lauraceae		species					
Cryptocarya louvelii	Cryptocarya louvelii		Plantae				Lauraceae		species					
Cryptocarya mackinnoniana	Cryptocarya mackinnoniana		Plantae				Lauraceae		species					
Cryptocarya massoy	Cryptocarya massoy		Plantae				Lauraceae		species					
Cryptocarya membranacea	Cryptocarya membranacea		Plantae				Lauraceae		species					
Cryptocarya metcalfiana	Cryptocarya metcalfiana		Plantae				Lauraceae		species					
Cryptocarya microneura	Cryptocarya microneura		Plantae				Lauraceae		species					
Cryptocarya moretoniana	Cryptocarya moretoniana		Plantae				Lauraceae		species					
Cryptocarya multipaniculata	Cryptocarya multipaniculata		Plantae				Lauraceae		species					
Cryptocarya murrayi	Cryptocarya murrayi		Plantae				Lauraceae		species					
Cryptocarya oblata	Cryptocarya oblata		Plantae				Lauraceae		species					
Cryptocarya obovata	Cryptocarya obovata		Plantae				Lauraceae		species					
Cryptocarya obtusifolia	Cryptocarya obtusifolia		Plantae				Lauraceae		species					
Cryptocarya palmerensis	Cryptocarya palmerensis		Plantae				Lauraceae		species					
Cryptocarya pleurosperma	Cryptocarya pleurosperma		Plantae				Lauraceae		species					
Cryptocarya rigida	Cryptocarya rigida		Plantae				Lauraceae		species					
Cryptocarya roemeri	Cryptocarya roemeri		Plantae				Lauraceae		species					
Cryptocarya subvelutina	Cryptocarya subvelutina		Plantae				Lauraceae		species					
Cryptocarya thouvenotii	Cryptocarya thouvenotii		Plantae				Lauraceae		species					
Cryptocarya tomentosa	Cryptocarya tomentosa		Plantae				Lauraceae		species					
Cryptocarya triplinervis	Cryptocarya triplinervis		Plantae				Lauraceae		species					
Cryptocarya verrucosa	Cryptocarya verrucosa		Plantae				Lauraceae		species					
Cryptomeria fortunei	Cryptomeria fortunei		Plantae				Cupressaceae		species					
Cryptomeria japonica	Cryptomeria japonica		Plantae				Cupressaceae		species					
Cryptosepalum staudtii	Cryptosepalum staudtii		Plantae				Fabaceae		species					
Ctenolophon englerianus	Ctenolophon englerianus		Plantae				Ctenolophonaceae		species					
Ctenolophon parvifolius	Ctenolophon parvifolius		Plantae				Ctenolophonaceae		species					
Cullen australasicum	Cullen australasicum		Plantae				Fabaceae		species					
Cunninghamia lanceolata	Cunninghamia lanceolata		Plantae				Cupressaceae		species					
Cunonia capensis	Cunonia capensis		Plantae				Cunoniaceae		species					
Cupania americana	Cupania americana		Plantae				Sapindaceae		species					
Cupania cinerea	Cupania cinerea		Plantae				Sapindaceae		species					
Cupania dentata	Cupania dentata		Plantae				Sapindaceae		species					
Cupania lucens	Cupania lucens		Plantae				Sapindaceae		species					
Cupania oblongifolia	Cupania oblongifolia		Plantae				Sapindaceae		species					
Cupania scrobiculata	Cupania scrobiculata		Plantae				Sapindaceae		species					
Cupania vernalis	Cupania vernalis		Plantae				Sapindaceae		species					
Cupaniopsis anacardioides	Cupaniopsis anacardioides		Plantae				Sapindaceae		species					
Cupaniopsis apiocarpa	Cupaniopsis apiocarpa		Plantae				Sapindaceae		species					
Cupaniopsis parvifolia	Cupaniopsis parvifolia		Plantae				Sapindaceae		species					
Cupressus duclouxiana	Cupressus duclouxiana		Plantae				Cupressaceae		species					
Cupressus funebris	Cupressus funebris		Plantae				Cupressaceae		species					
Cupressus lusitanica	Cupressus lusitanica		Plantae				Cupressaceae		species					
Cupressus macrocarpa	Cupressus macrocarpa		Plantae				Cupressaceae		species					
Cupressus sempervirens	Cupressus sempervirens		Plantae				Cupressaceae		species					
Cupressus torulosa	Cupressus torulosa		Plantae				Cupressaceae		species					
Curatella americana	Curatella americana		Plantae				Dilleniaceae		species					
Curtisia dentata	Curtisia dentata		Plantae				Curtisiaceae		species					
Curtisia faginea	Curtisia faginea		Plantae				Curtisiaceae		species					
Curupira tefeensis	Curupira tefeensis		Plantae				Olacaceae		species					
Cuspidaria lateriflora	Cuspidaria lateriflora		Plantae				Bignoniaceae		species					
Cussonia arborea	Cussonia arborea		Plantae				Araliaceae		species					
Cussonia spicata	Cussonia spicata		Plantae				Araliaceae		species					
Cyathocalyx bancanus	Cyathocalyx bancanus		Plantae				Annonaceae		species					
Cyathocalyx carinatus	Cyathocalyx carinatus		Plantae				Annonaceae		species					
Cyathocalyx globosus	Cyathocalyx globosus		Plantae				Annonaceae		species					
Cyathocalyx havilandii	Cyathocalyx havilandii		Plantae				Annonaceae		species					
Cyathocalyx maingayi	Cyathocalyx maingayi		Plantae				Annonaceae		species					
Cyathocalyx pahangensis	Cyathocalyx pahangensis		Plantae				Annonaceae		species					
Cyathocalyx pruniferus	Cyathocalyx pruniferus		Plantae				Annonaceae		species					
Cyathocalyx sumatrana	Cyathocalyx sumatrana		Plantae				Annonaceae		species					
Cyathodes fasciculata	Cyathodes fasciculata		Plantae				Ericaceae		species					
Cybianthus fulvopulverulentus	Cybianthus fulvopulverulentus		Plantae				Myrsinaceae		species					
Cybistax antisyphilitica	Cybistax antisyphilitica		Plantae				Bignoniaceae		species					
Cyclolobium vecchii	Cyclolobium vecchii		Plantae				Fabaceae		species					
Cylicodiscus gabunensis	Cylicodiscus gabunensis		Plantae				Fabaceae		species					
Cymbopetalum baillonii	Cymbopetalum baillonii		Plantae				Annonaceae		species					
Cymbopetalum brasiliense	Cymbopetalum brasiliense		Plantae				Annonaceae		species					
Cymbopetalum penduliflorum	Cymbopetalum penduliflorum		Plantae				Annonaceae		species					
Cynometra alexandri	Cynometra alexandri		Plantae				Fabaceae		species					
Cynometra ananta	Cynometra ananta		Plantae				Fabaceae		species					
Cynometra cauliflora	Cynometra cauliflora		Plantae				Fabaceae		species					
Cynometra hankei	Cynometra hankei		Plantae				Fabaceae		species					
Cynometra hostmanniana	Cynometra hostmanniana		Plantae				Fabaceae		species					
Cynometra inaequifolia	Cynometra inaequifolia		Plantae				Fabaceae		species					
Cynometra insularis	Cynometra insularis		Plantae				Fabaceae		species					
Cynometra malaccensis	Cynometra malaccensis		Plantae				Fabaceae		species					
Cynometra mimosoides	Cynometra mimosoides		Plantae				Fabaceae		species					
